___,_____,____ ______,,,,,,,,,,,,,,,,,,,,,,,
abandon,"___, ___",His mother abandoned him when he was a little child,,,,,,,,,,,,,,,,,,,,,,,
abduct,_____,He attacked one of my brothers and abducted the other.,,,,,,,,,,,,,,,,,,,,,,,
abduction,_____,Child abductions by strangers are much rarer than most people think.,,,,,,,,,,,,,,,,,,,,,,,
abhorrence,"___ ___, ____",,,,,,,,,,,,,,,,,,,,,,,,
abide,"_____ ____ _, ______",A man has to be abide to his family.,,,,,,,,,,,,,,,,,,,,,,,
ability,_____,You're blessed with abilities that few men possess,,,,,,,,,,,,,,,,,,,,,,,
able,____,He was able to help me find my way because he knew the place really well.,,,,,,,,,,,,,,,,,,,,,,,
to abolish,____,England had not been the first European power to abolish the slave trade; that honour belongs to Denmark,,,,,,,,,,,,,,,,,,,,,,,
abortive,"___, ____",,,,,,,,,,,,,,,,,,,,,,,,
abortion,"____, _____ _____","She chose to have an abortion because she couldn't handle a child at her age.She faced three basic choices: Abortion; raise the child herself; or give the baby up for adoption.",,,,,,,,,,,,,,,,,,,,,,,
above,"_____, ___ ____",She put her child's needs above hers.,,,,,,,,,,,,,,,,,,,,,,,
abrupt,______,The abrupt climate change suprised me,,,,,,,,,,,,,,,,,,,,,,,
absence,_______,"Because of humanity's absence, nature ran wild.His absence from school makes me worried",,,,,,,,,,,,,,,,,,,,,,,
absent,____,She was absent from work only three times this year.,,,,,,,,,,,,,,,,,,,,,,,
absent-minded,_____,"I am so absent minded, i can never find my car keys. ",,,,,,,,,,,,,,,,,,,,,,,
absolute,"________, _____",He swore an oath of absolute secrecy.,,,,,,,,,,,,,,,,,,,,,,,
absolutely,_______,I am absolutely certain who is going to win.,,,,,,,,,,,,,,,,,,,,,,,
absorb,"_____, _____",The human brain can absorb a lot of information.,,,,,,,,,,,,,,,,,,,,,,,
absorbent,"____, ___ ____ _____",,,,,,,,,,,,,,,,,,,,,,,,
abundant,____,There was abundant of treasure in the holy temple. ,,,,,,,,,,,,,,,,,,,,,,,
abuse,"______, _____, ______ ____","He tried to abuse me, and i didn't let him.",,,,,,,,,,,,,,,,,,,,,,,
accelerate,_____ _____,Some exercises can accelerate the blood flow.,,,,,,,,,,,,,,,,,,,,,,,
accept,"____, ______",They accepted my offer to help them find their way home.,,,,,,,,,,,,,,,,,,,,,,,
access,"___, ____",There is no access to the beach.,,,,,,,,,,,,,,,,,,,,,,,
accessory,_____,,,,,,,,,,,,,,,,,,,,,,,,
 accident,_____,4 men were killed.yesterday in a terrible accident on the highway.,,,,,,,,,,,,,,,,,,,,,,,
accidental,_____,It’s not known if the shooting was intentional or accidental.,,,,,,,,,,,,,,,,,,,,,,,
accidentally,"_____, __ ______, _____","Dany's car looked like someone else’s car, and she accidentally tried to get inside the wrong car.",,,,,,,,,,,,,,,,,,,,,,,
acclaim,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
accommodation,"______, ____",The cost of accommodation in Crete is generally far lower than in northern European countries.,,,,,,,,,,,,,,,,,,,,,,,
accomplice,____ ______,,,,,,,,,,,,,,,,,,,,,,,,
accomplish,_____,,,,,,,,,,,,,,,,,,,,,,,,
accomplished,"_____, ____",The mission was accomplished successfully.,,,,,,,,,,,,,,,,,,,,,,,
accordance,_____,,,,,,,,,,,,,,,,,,,,,,,,
accomplishment,____,,,,,,,,,,,,,,,,,,,,,,,,
according to,__-__,,,,,,,,,,,,,,,,,,,,,,,,
accordingly,_____ ___,,,,,,,,,,,,,,,,,,,,,,,,
account,_____,,,,,,,,,,,,,,,,,,,,,,,,
on account of,"____, ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
to account for,___ ____,,,,,,,,,,,,,,,,,,,,,,,,
accountable,_____,,,,,,,,,,,,,,,,,,,,,,,,
accumulate,"______, _____",,,,,,,,,,,,,,,,,,,,,,,,
accurate,_____,,,,,,,,,,,,,,,,,,,,,,,,
 accusation,_____,,,,,,,,,,,,,,,,,,,,,,,,
achieve,_____,,,,,,,,,,,,,,,,,,,,,,,,
acid,_____,,,,,,,,,,,,,,,,,,,,,,,,
acquaintance,"_____, ___",,,,,,,,,,,,,,,,,,,,,,,,
acquit,_____,,,,,,,,,,,,,,,,,,,,,,,,
acquisition,"_____, ___",,,,,,,,,,,,,,,,,,,,,,,,
acquire,_____,,,,,,,,,,,,,,,,,,,,,,,,
act,"____, _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
active,____,,,,,,,,,,,,,,,,,,,,,,,,
acute,____,,,,,,,,,,,,,,,,,,,,,,,,
adapt,"____, ______",,,,,,,,,,,,,,,,,,,,,,,,
adaptation,"_____, _______",,,,,,,,,,,,,,,,,,,,,,,,
addition,_____,,,,,,,,,,,,,,,,,,,,,,,,
additional,____,,,,,,,,,,,,,,,,,,,,,,,,
adequate,"____, _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
adhere to,_____ _,,,,,,,,,,,,,,,,,,,,,,,,
adjustment,"_____, _____ _____ _____",,,,,,,,,,,,,,,,,,,,,,,,
administer,____,,,,,,,,,,,,,,,,,,,,,,,,
admirable,____,,,,,,,,,,,,,,,,,,,,,,,,
admiration,_____,,,,,,,,,,,,,,,,,,,,,,,,
admire,"______, ______",,,,,,,,,,,,,,,,,,,,,,,,
admit,______,,,,,,,,,,,,,,,,,,,,,,,,
admittance,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
admonish,"______, ______. _____.",,,,,,,,,,,,,,,,,,,,,,,,
adolescence,___ ________,,,,,,,,,,,,,,,,,,,,,,,,
adopt,____,,,,,,,,,,,,,,,,,,,,,,,,
adopted,_____,,,,,,,,,,,,,,,,,,,,,,,,
adore,"______, ______",,,,,,,,,,,,,,,,,,,,,,,,
adorn,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
adult,_____,,,,,,,,,,,,,,,,,,,,,,,,
advance,"_______, _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
